,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
Batman Begins,/title/tt0372784/?ref_=bo_cso_table_1,201,Batman Begins,"$206,852,432",2005,48745440,150000000,206852432,166809514,373661946,140.0,PG-13,6,2005-06-15,"['Action', 'Adventure']"
Charlie and the Chocolate Factory,/title/tt0367594/?ref_=bo_cso_table_2,202,Charlie and the Chocolate Factory,"$206,459,076",2005,56178450,150000000,206459076,268509687,474968763,115.0,PG,7,2005-07-14,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Ratatouille,/title/tt0382932/?ref_=bo_cso_table_3,203,Ratatouille,"$206,445,654",2007,47027395,150000000,206445654,417280431,623726085,111.0,G,6,2007-06-28,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Thor: The Dark World,/title/tt1981115/?ref_=bo_cso_table_4,204,Thor: The Dark World,"$206,362,140",2013,85737841,170000000,206362140,438421000,644783140,112.0,PG-13,10,2013-10-30,"['Action', 'Adventure', 'Fantasy']"
Bad Boys for Life,/title/tt1502397/?ref_=bo_cso_table_5,205,Bad Boys for Life,"$206,305,244",2020,62504105,90000000,206305244,220200000,426505244,124.0,R,1,2020-01-15,"['Action', 'Comedy', 'Crime', 'Thriller']"
Austin Powers: The Spy Who Shagged Me,/title/tt0145660/?ref_=bo_cso_table_6,206,Austin Powers: The Spy Who Shagged Me,"$206,040,086",1999,17981900,33000000,206040086,105976842,312016928,95.0,PG-13,6,1999-06-11,"['Action', 'Adventure', 'Comedy', 'Crime']"
Terminator 2: Judgment Day,/title/tt0103064/?ref_=bo_cso_table_7,207,Terminator 2: Judgment Day,"$205,881,154",1991,31765506,102000000,205881154,312106698,520881154,137.0,R,7,1991-07-03,"['Action', 'Sci-Fi']"
The Amazing Spider-Man 2,/title/tt1872181/?ref_=bo_cso_table_8,208,The Amazing Spider-Man 2,"$202,853,933",2014,91608337,0,202853933,506128390,708982323,142.0,PG-13,4,2014-04-16,"['Action', 'Adventure', 'Sci-Fi']"
World War Z,/title/tt0816711/?ref_=bo_cso_table_9,209,World War Z,"$202,359,711",2013,66411834,190000000,202359711,337648165,540007876,116.0,PG-13,6,2013-06-19,"['Action', 'Adventure', 'Horror', 'Sci-Fi']"
The Mummy Returns,/title/tt0209163/?ref_=bo_cso_table_10,210,The Mummy Returns,"$202,019,785",2001,68139035,98000000,202019785,241261119,443280904,130.0,PG-13,5,2001-05-04,"['Action', 'Adventure', 'Fantasy', 'Thriller']"
Armageddon,/title/tt0120591/?ref_=bo_cso_table_11,211,Armageddon,"$201,578,182",1998,36089972,140000000,201578182,352131606,553709788,151.0,PG-13,7,1998-07-01,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Cinderella,/title/tt1661199/?ref_=bo_cso_table_12,212,Cinderella,"$201,151,353",2015,67877361,95000000,201151353,341206978,542358331,105.0,PG,3,2015-03-11,"['Drama', 'Family', 'Fantasy', 'Romance']"
Ralph Breaks the Internet,/title/tt5848272/?ref_=bo_cso_table_13,213,Ralph Breaks the Internet,"$201,091,711",2018,56237634,175000000,201091711,328232251,529323962,112.0,PG,11,2018-11-21,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Gone with the Wind,/title/tt0031381/?ref_=bo_cso_table_14,214,Gone with the Wind,"$200,852,579",1939,0,0,200852579,201500000,400176459,238.0,,12,1939-12-15,"['Drama', 'History', 'Romance', 'War']"
Tangled,/title/tt0398286/?ref_=bo_cso_table_15,215,Tangled,"$200,821,936",2010,48767052,260000000,200821936,391640023,592461959,100.0,PG,11,2010-11-24,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
Godzilla,/title/tt0831387/?ref_=bo_cso_table_16,216,Godzilla,"$200,676,069",2014,93188384,160000000,200676069,324300000,524976069,123.0,PG-13,5,2014-05-14,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Superman Returns,/title/tt0348150/?ref_=bo_cso_table_17,217,Superman Returns,"$200,081,192",2006,52535096,270000000,200081192,191000000,391081192,154.0,PG-13,6,2006-06-28,"['Action', 'Sci-Fi']"
Spectre,/title/tt2379713/?ref_=bo_cso_table_18,218,Spectre,"$200,074,609",2015,70403148,245000000,200074609,680600000,880674609,148.0,PG-13,10,2015-10-26,"['Action', 'Adventure', 'Thriller']"
Pearl Harbor,/title/tt0213149/?ref_=bo_cso_table_19,219,Pearl Harbor,"$198,542,554",2001,59078912,140000000,198542554,250678391,449220945,183.0,PG-13,5,2001-05-25,"['Action', 'Drama', 'History', 'Romance', 'War']"
Monsters vs. Aliens,/title/tt0892782/?ref_=bo_cso_table_20,220,Monsters vs. Aliens,"$198,351,526",2009,59321095,175000000,198351526,183158344,381509870,94.0,PG,3,2009-03-19,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi', 'Thriller']"
