,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
Dumbo,/title/tt3861390/?ref_=bo_cso_table_1,601,Dumbo,"$114,766,307",2019,45990748,245000000,114766307,238518314,353284621,112.0,PG,March,"['Adventure', 'Family', 'Fantasy']"
Fifty Shades Darker,/title/tt4465564/?ref_=bo_cso_table_2,602,Fifty Shades Darker,"$114,581,250",2017,46607250,245000000,114581250,266964596,381545846,118.0,R,February,"['Drama', 'Romance']"
Dodgeball,/title/tt0364725/?ref_=bo_cso_table_3,603,Dodgeball,"$114,326,736",2004,30070196,245000000,114326736,54096491,168423227,92.0,PG-13,June,"['Comedy', 'Sport']"
The Village,/title/tt0368447/?ref_=bo_cso_table_4,604,The Village,"$114,197,520",2004,50746142,245000000,114197520,142500000,256697520,108.0,PG-13,August,"['Drama', 'Mystery', 'Thriller']"
Bolt,/title/tt0397892/?ref_=bo_cso_table_5,605,Bolt,"$114,053,579",2008,26223128,245000000,114053579,195926415,309979994,96.0,PG,November,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Maleficent: Mistress of Evil,/title/tt4777008/?ref_=bo_cso_table_6,606,Maleficent: Mistress of Evil,"$113,929,605",2019,36948713,245000000,113929605,377800484,491730089,119.0,PG,October,"['Adventure', 'Family', 'Fantasy']"
Wild Wild West,/title/tt0120891/?ref_=bo_cso_table_7,607,Wild Wild West,"$113,804,681",1999,27687484,245000000,113804681,108300000,222104681,106.0,PG-13,June,"['Action', 'Comedy', 'Sci-Fi', 'Western']"
Night at the Museum: Secret of the Tomb,/title/tt2692250/?ref_=bo_cso_table_8,608,Night at the Museum: Secret of the Tomb,"$113,746,621",2014,17100520,245000000,113746621,249458014,363204635,98.0,PG,December,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Magic Mike,/title/tt1915581/?ref_=bo_cso_table_9,609,Magic Mike,"$113,721,571",2012,39127170,245000000,113721571,54017797,167739368,110.0,R,June,"['Comedy', 'Drama']"
The Addams Family,/title/tt1620981/?ref_=bo_cso_table_141,741,The Addams Family,"$100,723,831",2019,30300007,245000000,100723831,103037026,203760857,86.0,PG,October,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']"
The Patriot,/title/tt0187393/?ref_=bo_cso_table_11,611,The Patriot,"$113,330,342",2000,22413710,245000000,113330342,101964000,215294342,165.0,R,June,"['Action', 'Drama', 'History', 'War']"
Bad Moms,/title/tt4651520/?ref_=bo_cso_table_12,612,Bad Moms,"$113,257,297",2016,23817340,245000000,113257297,70678777,183936074,100.0,R,July,['Comedy']
The Bourne Legacy,/title/tt1194173/?ref_=bo_cso_table_13,613,The Bourne Legacy,"$113,203,870",2012,38142825,245000000,113203870,162940880,276144750,135.0,PG-13,August,"['Action', 'Adventure', 'Thriller']"
The Pacifier,/title/tt0395699/?ref_=bo_cso_table_14,614,The Pacifier,"$113,086,868",2005,30552694,245000000,113086868,85550000,198636868,95.0,PG,March,"['Action', 'Comedy', 'Drama', 'Family']"
Dr. Dolittle 2,/title/tt0240462/?ref_=bo_cso_table_15,615,Dr. Dolittle 2,"$112,952,899",2001,25037039,245000000,112952899,63151445,176104344,87.0,PG,June,"['Comedy', 'Family', 'Fantasy']"
The Rocky Horror Picture Show,/title/tt0073629/?ref_=bo_cso_table_16,616,The Rocky Horror Picture Show,"$112,892,319",1975,0,245000000,112892319,360887,113253206,100.0,,September,"['Comedy', 'Musical']"
It's Complicated,/title/tt1230414/?ref_=bo_cso_table_17,617,It's Complicated,"$112,735,375",2009,22100820,245000000,112735375,106368280,219103655,121.0,R,December,"['Comedy', 'Drama', 'Romance']"
